# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.2e-09       	T             	7.727921e+02	(5.000000e-07 2.995000e-04 5.000000e-07)	21	7.730000e+02	(4.205000e-04 1.695000e-04 5.000000e-07)	8
2.64e-09      	T             	7.726234e+02	(5.000000e-07 2.995000e-04 5.000000e-07)	21	7.730000e+02	(3.025000e-04 1.985000e-04 5.000000e-07)	12
4.367999e-09  	T             	7.724959e+02	(5.000000e-07 2.995000e-04 5.000000e-07)	21	7.730000e+02	(3.705000e-04 1.500000e-06 5.000000e-07)	3
6.441599e-09  	T             	7.723950e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(4.805000e-04 9.550000e-05 5.000000e-07)	38
8.929917e-09  	T             	7.723045e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(7.245000e-04 1.445000e-04 5.000000e-07)	53
1.19159e-08   	T             	7.722167e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(1.485000e-04 9.750000e-05 5.000000e-07)	24
1.549908e-08  	T             	7.721324e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(1.485000e-04 9.750000e-05 5.000000e-07)	24
1.979889e-08  	T             	7.720570e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(6.455000e-04 2.365000e-04 5.000000e-07)	48
2.495867e-08  	T             	7.719967e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(1.485000e-04 9.850000e-05 5.000000e-07)	24
3.115039e-08  	T             	7.719568e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	16	7.730000e+02	(5.955000e-04 1.365000e-04 5.000000e-07)	43
3.858047e-08  	T             	7.719389e+02	(5.000000e-07 4.050000e-05 5.000000e-07)	16	7.730000e+02	(5.955000e-04 1.365000e-04 5.000000e-07)	43
4.749654e-08  	T             	7.719305e+02	(5.000000e-07 5.150000e-05 5.000000e-07)	16	7.730000e+02	(5.955000e-04 1.325000e-04 5.000000e-07)	43
5.819583e-08  	T             	7.719286e+02	(5.000000e-07 5.950000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
7.103497e-08  	T             	7.719415e+02	(5.000000e-07 6.150000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
8.644192e-08  	T             	7.719009e+02	(1.500000e-06 6.150000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
1.049303e-07  	T             	7.718236e+02	(1.500000e-06 6.150000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
1.271163e-07  	T             	7.718017e+02	(1.500000e-06 5.950000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
1.537394e-07  	T             	7.718179e+02	(1.500000e-06 4.650000e-05 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
1.856872e-07  	T             	7.718386e+02	(1.500000e-06 2.500000e-06 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
2.240245e-07  	T             	7.718942e+02	(1.500000e-06 2.500000e-06 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
2.70029e-07   	T             	7.718958e+02	(2.500000e-06 1.395000e-04 5.000000e-07)	19	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
3.252343e-07  	T             	7.718482e+02	(2.500000e-06 1.785000e-04 5.000000e-07)	20	7.730018e+02	(2.350000e-05 1.450000e-05 5.000000e-07)	16
3.914806e-07  	T             	7.718416e+02	(2.500000e-06 1.925000e-04 5.000000e-07)	20	7.730009e+02	(2.350000e-05 1.450000e-05 5.000000e-07)	16
4.709757e-07  	T             	7.718494e+02	(2.500000e-06 2.955000e-04 5.000000e-07)	21	7.730000e+02	(1.455000e-04 9.450000e-05 5.000000e-07)	24
5.663692e-07  	T             	7.718428e+02	(3.500000e-06 2.955000e-04 5.000000e-07)	21	7.730000e+02	(1.455000e-04 9.450000e-05 5.000000e-07)	24
6.808408e-07  	T             	7.718543e+02	(3.500000e-06 2.955000e-04 5.000000e-07)	21	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
8.182054e-07  	T             	7.718747e+02	(3.500000e-06 5.500000e-06 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
9.830424e-07  	T             	7.718676e+02	(4.500000e-06 5.500000e-06 5.000000e-07)	16	7.730000e+02	(6.885000e-04 2.625000e-04 5.000000e-07)	48
1.180847e-06  	T             	7.718709e+02	(4.500000e-06 6.500000e-06 5.000000e-07)	16	7.730000e+02	(1.455000e-04 9.450000e-05 5.000000e-07)	24
1.418208e-06  	T             	7.718836e+02	(5.500000e-06 7.500000e-06 5.000000e-07)	16	7.730001e+02	(1.455000e-04 9.450000e-05 5.000000e-07)	24
1.703035e-06  	T             	7.718845e+02	(5.500000e-06 8.500000e-06 5.000000e-07)	16	7.730001e+02	(1.455000e-04 9.450000e-05 5.000000e-07)	24
2.044822e-06  	T             	7.718798e+02	(6.500000e-06 2.915000e-04 5.000000e-07)	21	7.730038e+02	(2.050000e-05 1.715000e-04 5.000000e-07)	19
2.454961e-06  	T             	7.718735e+02	(6.500000e-06 2.905000e-04 5.000000e-07)	21	7.730135e+02	(2.050000e-05 1.715000e-04 5.000000e-07)	19
2.947111e-06  	T             	7.718708e+02	(7.500000e-06 2.905000e-04 5.000000e-07)	21	7.730347e+02	(2.050000e-05 1.715000e-04 5.000000e-07)	19
3.537675e-06  	T             	7.718746e+02	(8.500000e-06 2.895000e-04 5.000000e-07)	21	7.730764e+02	(2.050000e-05 1.715000e-04 5.000000e-07)	19
4.246342e-06  	T             	7.718808e+02	(9.500000e-06 2.885000e-04 5.000000e-07)	21	7.731507e+02	(2.050000e-05 1.725000e-04 5.000000e-07)	19
5.096683e-06  	T             	7.718855e+02	(9.500000e-06 2.865000e-04 5.000000e-07)	21	7.732720e+02	(2.050000e-05 1.725000e-04 5.000000e-07)	19
6.117091e-06  	T             	7.718937e+02	(1.050000e-05 2.845000e-04 5.000000e-07)	21	7.734552e+02	(2.050000e-05 1.735000e-04 5.000000e-07)	20
7.341532e-06  	T             	7.719050e+02	(1.150000e-05 2.525000e-04 5.000000e-07)	21	7.737129e+02	(2.050000e-05 8.150000e-05 5.000000e-07)	16
8.810824e-06  	T             	7.719193e+02	(1.250000e-05 2.475000e-04 5.000000e-07)	21	7.740535e+02	(2.050000e-05 7.950000e-05 5.000000e-07)	16
1.057387e-05  	T             	7.719366e+02	(1.450000e-05 2.455000e-04 5.000000e-07)	21	7.744791e+02	(2.050000e-05 7.650000e-05 5.000000e-07)	16
1.268938e-05  	T             	7.719579e+02	(1.550000e-05 2.455000e-04 5.000000e-07)	21	7.749853e+02	(2.050000e-05 7.250000e-05 5.000000e-07)	16
1.522745e-05  	T             	7.719849e+02	(1.650000e-05 2.465000e-04 5.000000e-07)	21	7.755614e+02	(2.050000e-05 6.950000e-05 5.000000e-07)	16
