# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199999e-09  	T             	7.727921e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(2.650000e-05 3.050000e-05 5.000000e-07)	0
2.639996e-09  	T             	7.726234e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(3.315000e-04 8.750000e-05 5.000000e-07)	6
4.367991e-09  	T             	7.724959e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(2.355000e-04 2.250000e-05 5.000000e-07)	4
6.441582e-09  	T             	7.723951e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(2.705000e-04 8.350000e-05 5.000000e-07)	6
8.92989e-09   	T             	7.723046e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.255000e-04 1.315000e-04 5.000000e-07)	3
1.191586e-08  	T             	7.722168e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.255000e-04 1.315000e-04 5.000000e-07)	3
1.549901e-08  	T             	7.721326e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.385000e-04 1.205000e-04 5.000000e-07)	3
1.97988e-08   	T             	7.720572e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.395000e-04 1.205000e-04 5.000000e-07)	3
2.495853e-08  	T             	7.719969e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(9.050000e-05 8.950000e-05 5.000000e-07)	3
3.115017e-08  	T             	7.719571e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(8.950000e-05 8.950000e-05 5.000000e-07)	3
3.858013e-08  	T             	7.719417e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.605000e-04 1.750000e-05 5.000000e-07)	2
4.749602e-08  	T             	7.719446e+02	(5.000000e-07 5.150000e-05 5.000000e-07)	0	7.730000e+02	(1.435000e-04 1.165000e-04 5.000000e-07)	3
5.819505e-08  	T             	7.719649e+02	(5.000000e-07 5.150000e-05 5.000000e-07)	0	7.730000e+02	(1.395000e-04 9.450000e-05 5.000000e-07)	3
7.103374e-08  	T             	7.720083e+02	(5.000000e-07 5.150000e-05 5.000000e-07)	0	7.730000e+02	(1.405000e-04 9.450000e-05 5.000000e-07)	3
8.644002e-08  	T             	7.720351e+02	(1.500000e-06 5.150000e-05 5.000000e-07)	0	7.730000e+02	(1.905000e-04 3.450000e-05 5.000000e-07)	4
1.049275e-07  	T             	7.719867e+02	(1.500000e-06 4.750000e-05 5.000000e-07)	0	7.730000e+02	(2.285000e-04 3.850000e-05 5.000000e-07)	4
1.271124e-07  	T             	7.719658e+02	(1.500000e-06 2.050000e-05 5.000000e-07)	0	7.730033e+02	(2.250000e-05 6.250000e-05 5.000000e-07)	0
1.537338e-07  	T             	7.719538e+02	(1.500000e-06 2.500000e-06 5.000000e-07)	0	7.730059e+02	(2.250000e-05 6.250000e-05 5.000000e-07)	0
1.856788e-07  	T             	7.719593e+02	(1.500000e-06 1.475000e-04 5.000000e-07)	1	7.730054e+02	(2.150000e-05 5.950000e-05 5.000000e-07)	0
2.240123e-07  	T             	7.719650e+02	(1.500000e-06 1.475000e-04 5.000000e-07)	1	7.730000e+02	(3.115000e-04 1.335000e-04 5.000000e-07)	6
2.700107e-07  	T             	7.719719e+02	(2.500000e-06 1.475000e-04 5.000000e-07)	1	7.730000e+02	(3.105000e-04 1.335000e-04 5.000000e-07)	6
3.252078e-07  	T             	7.719385e+02	(2.500000e-06 1.465000e-04 5.000000e-07)	1	7.730000e+02	(2.505000e-04 7.950000e-05 5.000000e-07)	5
3.914421e-07  	T             	7.719228e+02	(2.500000e-06 7.550000e-05 5.000000e-07)	0	7.730051e+02	(8.450000e-05 5.250000e-05 5.000000e-07)	2
4.709212e-07  	T             	7.719296e+02	(2.500000e-06 4.500000e-06 5.000000e-07)	0	7.730014e+02	(8.450000e-05 5.250000e-05 5.000000e-07)	2
5.662961e-07  	T             	7.719391e+02	(3.500000e-06 4.500000e-06 5.000000e-07)	0	7.730000e+02	(1.885000e-04 6.250000e-05 5.000000e-07)	4
6.807395e-07  	T             	7.719315e+02	(3.500000e-06 4.500000e-06 5.000000e-07)	0	7.730001e+02	(1.965000e-04 4.650000e-05 5.000000e-07)	4
8.180652e-07  	T             	7.719377e+02	(3.500000e-06 5.500000e-06 5.000000e-07)	0	7.730001e+02	(1.965000e-04 4.650000e-05 5.000000e-07)	4
9.82838e-07   	T             	7.719377e+02	(4.500000e-06 5.500000e-06 5.000000e-07)	0	7.730002e+02	(1.965000e-04 4.650000e-05 5.000000e-07)	4
1.180546e-06  	T             	7.719314e+02	(4.500000e-06 6.500000e-06 5.000000e-07)	0	7.730004e+02	(2.905000e-04 3.650000e-05 5.000000e-07)	7
1.417795e-06  	T             	7.719401e+02	(5.500000e-06 1.435000e-04 5.000000e-07)	1	7.730012e+02	(2.655000e-04 3.650000e-05 5.000000e-07)	7
1.701644e-06  	T             	7.719391e+02	(5.500000e-06 1.425000e-04 5.000000e-07)	1	7.730024e+02	(2.295000e-04 1.245000e-04 5.000000e-07)	5
2.02917e-06   	T             	7.719562e+02	(6.500000e-06 1.425000e-04 5.000000e-07)	1	7.730041e+02	(2.050000e-05 5.250000e-05 5.000000e-07)	0
