# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199999e-08  	T             	7.723248e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(3.105000e-04 7.350000e-05 5.000000e-07)	5
2.639996e-08  	T             	7.720785e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(1.995000e-04 2.150000e-05 5.000000e-07)	2
4.367991e-08  	T             	7.720087e+02	(5.000000e-07 5.000000e-07 5.000000e-07)	0	7.730000e+02	(3.675000e-04 6.650000e-05 5.000000e-07)	6
6.441582e-08  	T             	7.720465e+02	(5.000000e-07 1.500000e-06 5.000000e-07)	0	7.730000e+02	(3.095000e-04 7.950000e-05 5.000000e-07)	5
8.92989e-08   	T             	7.721377e+02	(1.500000e-06 1.500000e-06 5.000000e-07)	0	7.730000e+02	(4.195000e-04 4.850000e-05 5.000000e-07)	7
1.191586e-07  	T             	7.720581e+02	(1.500000e-06 3.950000e-05 5.000000e-07)	0	7.730000e+02	(2.315000e-04 3.650000e-05 5.000000e-07)	4
1.549901e-07  	T             	7.720240e+02	(1.500000e-06 3.950000e-05 5.000000e-07)	0	7.730000e+02	(2.295000e-04 4.150000e-05 5.000000e-07)	4
1.97988e-07   	T             	7.720289e+02	(1.500000e-06 4.050000e-05 5.000000e-07)	0	7.730000e+02	(2.295000e-04 4.150000e-05 5.000000e-07)	4
2.495853e-07  	T             	7.720610e+02	(1.500000e-06 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.115017e-07  	T             	7.720521e+02	(2.500000e-06 4.050000e-05 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.858013e-07  	T             	7.720329e+02	(2.500000e-06 3.500000e-06 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.749602e-07  	T             	7.720403e+02	(2.500000e-06 4.500000e-06 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
5.819505e-07  	T             	7.720607e+02	(3.500000e-06 4.500000e-06 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
7.103374e-07  	T             	7.720487e+02	(3.500000e-06 4.500000e-06 5.000000e-07)	0	7.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.644002e-07  	T             	7.720586e+02	(3.500000e-06 5.500000e-06 5.000000e-07)	0	7.730011e+02	(1.395000e-04 3.950000e-05 5.000000e-07)	3
1.049275e-06  	T             	7.720753e+02	(4.500000e-06 5.500000e-06 5.000000e-07)	0	7.730076e+02	(1.785000e-04 3.950000e-05 5.000000e-07)	2
1.271124e-06  	T             	7.720862e+02	(4.500000e-06 6.500000e-06 5.000000e-07)	0	7.730201e+02	(9.650000e-05 3.950000e-05 5.000000e-07)	1
1.537338e-06  	T             	7.721139e+02	(4.500000e-06 7.500000e-06 5.000000e-07)	0	7.730366e+02	(9.550000e-05 4.050000e-05 5.000000e-07)	1
1.856788e-06  	T             	7.721171e+02	(5.500000e-06 7.500000e-06 5.000000e-07)	0	7.730471e+02	(9.250000e-05 4.050000e-05 5.000000e-07)	1
2.240123e-06  	T             	7.721179e+02	(5.500000e-06 8.500000e-06 5.000000e-07)	0	7.730438e+02	(9.050000e-05 4.050000e-05 5.000000e-07)	1
2.700107e-06  	T             	7.720935e+02	(6.500000e-06 9.500000e-06 5.000000e-07)	0	7.730267e+02	(8.750000e-05 4.050000e-05 5.000000e-07)	1
3.252078e-06  	T             	7.720727e+02	(7.500000e-06 6.950000e-05 5.000000e-07)	0	7.730055e+02	(8.550000e-05 3.950000e-05 5.000000e-07)	1
3.914421e-06  	T             	7.720630e+02	(8.500000e-06 6.950000e-05 5.000000e-07)	0	7.730001e+02	(1.405000e-04 3.050000e-05 5.000000e-07)	3
4.709212e-06  	T             	7.720619e+02	(8.500000e-06 6.850000e-05 5.000000e-07)	0	7.730000e+02	(1.055000e-04 3.550000e-05 5.000000e-07)	1
5.662961e-06  	T             	7.720682e+02	(9.500000e-06 6.750000e-05 5.000000e-07)	0	7.730001e+02	(9.950000e-05 3.950000e-05 5.000000e-07)	1
6.807395e-06  	T             	7.720722e+02	(1.050000e-05 6.650000e-05 5.000000e-07)	0	7.730014e+02	(9.550000e-05 3.950000e-05 5.000000e-07)	1
8.180652e-06  	T             	7.720724e+02	(1.150000e-05 6.550000e-05 5.000000e-07)	0	7.730012e+02	(7.850000e-05 3.950000e-05 5.000000e-07)	1
9.82838e-06   	T             	7.720719e+02	(1.250000e-05 6.450000e-05 5.000000e-07)	0	7.730003e+02	(1.205000e-04 5.000000e-07 5.000000e-07)	3
1.180546e-05  	T             	7.720726e+02	(1.450000e-05 6.350000e-05 5.000000e-07)	0	7.730000e+02	(1.285000e-04 7.950000e-05 5.000000e-07)	3
1.417795e-05  	T             	7.720719e+02	(1.550000e-05 6.250000e-05 5.000000e-07)	0	7.730001e+02	(1.295000e-04 7.950000e-05 5.000000e-07)	3
1.702454e-05  	T             	7.720724e+02	(1.650000e-05 6.050000e-05 5.000000e-07)	0	7.730001e+02	(1.305000e-04 7.950000e-05 5.000000e-07)	3
2.043985e-05  	T             	7.720723e+02	(1.850000e-05 5.950000e-05 5.000000e-07)	0	7.730001e+02	(1.355000e-04 7.950000e-05 5.000000e-07)	3
2.453824e-05  	T             	7.720727e+02	(2.050000e-05 5.750000e-05 5.000000e-07)	0	7.730001e+02	(1.445000e-04 7.950000e-05 5.000000e-07)	3
