# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199904e-06  	T             	5.729948e+02	(1.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.639616e-06  	T             	5.729949e+02	(2.350000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.367171e-06  	T             	5.729949e+02	(2.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
6.440094e-06  	T             	5.729950e+02	(3.250000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.927291e-06  	T             	5.729951e+02	(3.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.191148e-05  	T             	5.729951e+02	(4.150000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.549144e-05  	T             	5.729952e+02	(4.550000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.978585e-05  	T             	5.729953e+02	(4.850000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.493826e-05  	T             	5.729954e+02	(5.150000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.11186e-05   	T             	5.729956e+02	(5.350000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.853041e-05  	T             	5.729958e+02	(5.450000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.742458e-05  	T             	5.729961e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
5.809186e-05  	T             	5.729964e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
