# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.19999e-06   	T             	5.729948e+02	(1.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.639962e-06  	T             	5.729949e+02	(2.350000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.367927e-06  	T             	5.729949e+02	(2.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
6.44145e-06   	T             	5.729950e+02	(3.250000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.929656e-06  	T             	5.729951e+02	(3.750000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.191544e-05  	T             	5.729951e+02	(4.150000e-05 4.050000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.549835e-05  	T             	5.729952e+02	(4.550000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
1.979783e-05  	T             	5.729953e+02	(4.950000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
2.495704e-05  	T             	5.729954e+02	(5.150000e-05 7.950000e-05 5.000000e-07)	0	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.114782e-05  	T             	5.729956e+02	(5.350000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
3.857659e-05  	T             	5.729958e+02	(5.450000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
4.749057e-05  	T             	5.729961e+02	(5.550000e-05 5.000000e-07 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
5.81864e-05   	T             	5.729964e+02	(5.550000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
7.102084e-05  	T             	5.729967e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
8.642059e-05  	T             	5.729971e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.0001048992  	T             	5.729975e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.0001270734  	T             	5.729979e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.0001536778  	T             	5.729983e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.000185598   	T             	5.729987e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.0002238998  	T             	5.729990e+02	(5.650000e-05 7.950000e-05 5.000000e-07)	1	5.730000e+02	(0.000000e+00 5.000000e-07 5.000000e-07)	0
0.0002698584  	T             	5.729992e+02	(3.315000e-04 7.950000e-05 5.000000e-07)	6	5.730001e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0003249883  	T             	5.729993e+02	(3.465000e-04 7.950000e-05 5.000000e-07)	6	5.730002e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0003911297  	T             	5.729993e+02	(3.725000e-04 5.000000e-07 5.000000e-07)	7	5.730004e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0004704993  	T             	5.729993e+02	(4.185000e-04 7.050000e-05 5.000000e-07)	7	5.730006e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0005657429  	T             	5.729994e+02	(4.195000e-04 7.550000e-05 5.000000e-07)	7	5.730010e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
0.0006656768  	T             	5.729994e+02	(4.195000e-04 3.500000e-06 5.000000e-07)	7	5.730015e+02	(1.005000e-04 3.050000e-05 5.000000e-07)	1
