# Field minima and maxima
# Time        	field         	min           	location(min) 	processor     	max           	location(max) 	processor     
1.199904e-06  	T             	7.727989e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
2.639616e-06  	T             	7.727989e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
4.367171e-06  	T             	7.727988e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
6.440094e-06  	T             	7.727987e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
8.927291e-06  	T             	7.727985e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
1.191148e-05  	T             	7.727984e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730026e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
1.549144e-05  	T             	7.727988e+02	(4.450000e-05 4.450000e-05 5.000000e-07)	5	7.730027e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
1.978585e-05  	T             	7.727998e+02	(6.550000e-05 6.250000e-05 5.000000e-07)	4	7.730027e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
2.493826e-05  	T             	7.727993e+02	(6.550000e-05 6.250000e-05 5.000000e-07)	4	7.730027e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
3.11186e-05   	T             	7.727988e+02	(6.850000e-05 2.250000e-05 5.000000e-07)	4	7.730027e+02	(4.455000e-04 4.550000e-05 5.000000e-07)	0
3.853041e-05  	T             	7.727991e+02	(6.850000e-05 2.250000e-05 5.000000e-07)	4	7.730048e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
4.742458e-05  	T             	7.727998e+02	(8.050000e-05 5.000000e-07 5.000000e-07)	4	7.730906e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
5.809186e-05  	T             	7.727991e+02	(8.050000e-05 5.000000e-07 5.000000e-07)	4	7.732040e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
7.088711e-05  	T             	7.728001e+02	(8.050000e-05 5.000000e-07 5.000000e-07)	4	7.733529e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
8.62335e-05   	T             	7.728048e+02	(8.050000e-05 5.000000e-07 5.000000e-07)	4	7.735471e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
0.0001046264  	T             	7.728160e+02	(8.050000e-05 5.000000e-07 5.000000e-07)	4	7.737977e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
0.0001266651  	T             	7.728206e+02	(1.085000e-04 9.250000e-05 5.000000e-07)	4	7.741171e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
0.0001530644  	T             	7.728234e+02	(1.335000e-04 7.500000e-06 5.000000e-07)	7	7.745191e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
0.0001847265  	T             	7.728249e+02	(1.335000e-04 7.500000e-06 5.000000e-07)	7	7.750191e+02	(2.750000e-05 8.650000e-05 5.000000e-07)	5
0.0002226233  	T             	7.728294e+02	(1.515000e-04 5.150000e-05 5.000000e-07)	7	7.756390e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0002680995  	T             	7.728411e+02	(1.325000e-04 9.950000e-05 5.000000e-07)	7	7.764006e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0003224677  	T             	7.728449e+02	(1.995000e-04 3.150000e-05 5.000000e-07)	6	7.773117e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0003865573  	T             	7.728483e+02	(2.335000e-04 1.450000e-05 5.000000e-07)	6	7.783794e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0004605069  	T             	7.728511e+02	(2.335000e-04 1.450000e-05 5.000000e-07)	6	7.795995e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.000543459   	T             	7.728561e+02	(2.325000e-04 7.650000e-05 5.000000e-07)	6	7.809528e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.00063527    	T             	7.728633e+02	(2.325000e-04 7.650000e-05 5.000000e-07)	6	7.824346e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0007289173  	T             	7.728741e+02	(2.325000e-04 7.650000e-05 5.000000e-07)	6	7.839340e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0008216282  	T             	7.728835e+02	(2.505000e-04 9.550000e-05 5.000000e-07)	2	7.854112e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.0009134119  	T             	7.728922e+02	(2.855000e-04 2.750000e-05 5.000000e-07)	2	7.868711e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001005196   	T             	7.729010e+02	(3.345000e-04 4.550000e-05 5.000000e-07)	3	7.883326e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001096052   	T             	7.729043e+02	(3.345000e-04 4.550000e-05 5.000000e-07)	3	7.897849e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001186909   	T             	7.729065e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.912461e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001276838   	T             	7.729087e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.927045e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001366768   	T             	7.729113e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.941779e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001456697   	T             	7.729142e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.956692e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.00154569    	T             	7.729172e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.971652e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001634683   	T             	7.729205e+02	(3.355000e-04 8.750000e-05 5.000000e-07)	3	7.986839e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001723676   	T             	7.729239e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.002278e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001811722   	T             	7.729274e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.017824e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001899768   	T             	7.729310e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.033665e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.001987814   	T             	7.729347e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.049825e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.00207586    	T             	7.729385e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.066329e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002162938   	T             	7.729422e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.083013e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002250016   	T             	7.729461e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.100084e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002337095   	T             	7.729499e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.117570e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002423195   	T             	7.729537e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.135291e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002509295   	T             	7.729576e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.153475e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002595395   	T             	7.729614e+02	(3.385000e-04 9.950000e-05 5.000000e-07)	3	8.172151e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002680506   	T             	7.729646e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.191127e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002765616   	T             	7.729671e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.210650e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002850726   	T             	7.729696e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.230760e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.002934835   	T             	7.729719e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.251243e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.003018945   	T             	7.729743e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.272381e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
0.003103054   	T             	7.729766e+02	(3.755000e-04 7.150000e-05 5.000000e-07)	1	8.294218e+02	(3.150000e-05 7.450000e-05 5.000000e-07)	5
