"Norm_Ux","Points:0","Points:1","Points:2"
0.9999,0,5e-05,0
0.99987,6e-07,5e-05,1e-09
0.99986,1.2e-06,5e-05,2e-09
0.99989,1.8e-06,5e-05,3e-09
0.9999,2.4e-06,5e-05,4e-09
0.9999,3e-06,5e-05,5e-09
0.9999,3.6e-06,5e-05,6e-09
0.9999,4.2e-06,5e-05,7e-09
0.9999,4.8e-06,5e-05,8e-09
0.9999,5.4e-06,5e-05,9e-09
0.9999,6e-06,5e-05,1e-08
0.99989,6.6e-06,5e-05,1.1e-08
0.99989,7.2e-06,5e-05,1.2e-08
0.99989,7.8e-06,5e-05,1.3e-08
0.99989,8.4e-06,5e-05,1.4e-08
0.99989,9e-06,5e-05,1.5e-08
0.99989,9.6e-06,5e-05,1.6e-08
0.99989,1.02e-05,5e-05,1.7e-08
0.99989,1.08e-05,5e-05,1.8e-08
0.99988,1.14e-05,5e-05,1.9e-08
0.99988,1.2e-05,5e-05,2e-08
0.99988,1.26e-05,5e-05,2.1e-08
0.99988,1.32e-05,5e-05,2.2e-08
0.99988,1.38e-05,5e-05,2.3e-08
0.99988,1.44e-05,5e-05,2.4e-08
0.99987,1.5e-05,5e-05,2.5e-08
0.99987,1.56e-05,5e-05,2.6e-08
0.99987,1.62e-05,5e-05,2.7e-08
0.99987,1.68e-05,5e-05,2.8e-08
0.99986,1.74e-05,5e-05,2.9e-08
0.99986,1.8e-05,5e-05,3e-08
0.99986,1.86e-05,5e-05,3.1e-08
0.99985,1.92e-05,5e-05,3.2e-08
0.99985,1.98e-05,5e-05,3.3e-08
0.99985,2.04e-05,5e-05,3.4e-08
0.99984,2.1e-05,5e-05,3.5e-08
0.99984,2.16e-05,5e-05,3.6e-08
0.99983,2.22e-05,5e-05,3.7e-08
0.99983,2.28e-05,5e-05,3.8e-08
0.99982,2.34e-05,5e-05,3.9e-08
0.99982,2.4e-05,5e-05,4e-08
0.99981,2.46e-05,5e-05,4.1e-08
0.99981,2.52e-05,5e-05,4.2e-08
0.9998,2.58e-05,5e-05,4.3e-08
0.99979,2.64e-05,5e-05,4.4e-08
0.99979,2.7e-05,5e-05,4.5e-08
0.99978,2.76e-05,5e-05,4.6e-08
0.99977,2.82e-05,5e-05,4.7e-08
0.99976,2.88e-05,5e-05,4.8e-08
0.99975,2.94e-05,5e-05,4.9e-08
0.99974,3e-05,5e-05,5e-08
0.99973,3.06e-05,5e-05,5.1e-08
0.99972,3.12e-05,5e-05,5.2e-08
0.99971,3.18e-05,5e-05,5.3e-08
0.9997,3.24e-05,5e-05,5.4e-08
0.99968,3.3e-05,5e-05,5.5e-08
0.99967,3.36e-05,5e-05,5.6e-08
0.99965,3.42e-05,5e-05,5.7e-08
0.99964,3.48e-05,5e-05,5.8e-08
0.99962,3.54e-05,5e-05,5.9e-08
0.9996,3.6e-05,5e-05,6e-08
0.99958,3.66e-05,5e-05,6.1e-08
0.99956,3.72e-05,5e-05,6.2e-08
0.99954,3.78e-05,5e-05,6.3e-08
0.99952,3.84e-05,5e-05,6.4e-08
0.99949,3.9e-05,5e-05,6.5e-08
0.99947,3.96e-05,5e-05,6.6e-08
0.99944,4.02e-05,5e-05,6.7e-08
0.99941,4.08e-05,5e-05,6.8e-08
0.99938,4.14e-05,5e-05,6.9e-08
0.99935,4.2e-05,5e-05,7e-08
0.99932,4.26e-05,5e-05,7.1e-08
0.99928,4.32e-05,5e-05,7.2e-08
0.99924,4.38e-05,5e-05,7.3e-08
0.9992,4.44e-05,5e-05,7.4e-08
0.99916,4.5e-05,5e-05,7.5e-08
0.99911,4.56e-05,5e-05,7.6e-08
0.99906,4.62e-05,5e-05,7.7e-08
0.99901,4.68e-05,5e-05,7.8e-08
0.99895,4.74e-05,5e-05,7.9e-08
0.9989,4.8e-05,5e-05,8e-08
0.99884,4.86e-05,5e-05,8.1e-08
0.99877,4.92e-05,5e-05,8.2e-08
0.9987,4.98e-05,5e-05,8.3e-08
0.99863,5.04e-05,5e-05,8.4e-08
0.99855,5.1e-05,5e-05,8.5e-08
0.99847,5.16e-05,5e-05,8.6e-08
0.99839,5.22e-05,5e-05,8.7e-08
0.9983,5.28e-05,5e-05,8.8e-08
0.9982,5.34e-05,5e-05,8.9e-08
0.9981,5.4e-05,5e-05,9e-08
0.99799,5.46e-05,5e-05,9.1e-08
0.99788,5.52e-05,5e-05,9.2e-08
0.99776,5.58e-05,5e-05,9.3e-08
0.99763,5.64e-05,5e-05,9.4e-08
0.9975,5.7e-05,5e-05,9.5e-08
0.99736,5.76e-05,5e-05,9.6e-08
0.99721,5.82e-05,5e-05,9.7e-08
0.99706,5.88e-05,5e-05,9.8e-08
0.99689,5.94e-05,5e-05,9.9e-08
0.99672,6e-05,5e-05,1e-07
0.99654,6.06e-05,5e-05,1.01e-07
0.99635,6.12e-05,5e-05,1.02e-07
0.99614,6.18e-05,5e-05,1.03e-07
0.99593,6.24e-05,5e-05,1.04e-07
0.9957,6.3e-05,5e-05,1.05e-07
0.99546,6.36e-05,5e-05,1.06e-07
0.99521,6.42e-05,5e-05,1.07e-07
0.99495,6.48e-05,5e-05,1.08e-07
0.99467,6.54e-05,5e-05,1.09e-07
0.99438,6.6e-05,5e-05,1.1e-07
0.99406,6.66e-05,5e-05,1.11e-07
0.99374,6.72e-05,5e-05,1.12e-07
0.9934,6.78e-05,5e-05,1.13e-07
0.99304,6.84e-05,5e-05,1.14e-07
0.99267,6.9e-05,5e-05,1.15e-07
0.99226,6.96e-05,5e-05,1.16e-07
0.99184,7.02e-05,5e-05,1.17e-07
0.9914,7.08e-05,5e-05,1.18e-07
0.99094,7.14e-05,5e-05,1.19e-07
0.99046,7.2e-05,5e-05,1.2e-07
0.98994,7.26e-05,5e-05,1.21e-07
0.9894,7.32e-05,5e-05,1.22e-07
0.98884,7.38e-05,5e-05,1.23e-07
0.98824,7.44e-05,5e-05,1.24e-07
0.98763,7.5e-05,5e-05,1.25e-07
0.98696,7.56e-05,5e-05,1.26e-07
0.98628,7.62e-05,5e-05,1.27e-07
0.98556,7.68e-05,5e-05,1.28e-07
0.9848,7.74e-05,5e-05,1.29e-07
0.98401,7.8e-05,5e-05,1.3e-07
0.98317,7.86e-05,5e-05,1.31e-07
0.98229,7.92e-05,5e-05,1.32e-07
0.98138,7.98e-05,5e-05,1.33e-07
0.98041,8.04e-05,5e-05,1.34e-07
0.97941,8.1e-05,5e-05,1.35e-07
0.97834,8.16e-05,5e-05,1.36e-07
0.97723,8.22e-05,5e-05,1.37e-07
0.97607,8.28e-05,5e-05,1.38e-07
0.97484,8.34e-05,5e-05,1.39e-07
0.97358,8.4e-05,5e-05,1.4e-07
0.97222,8.46e-05,5e-05,1.41e-07
0.97083,8.52e-05,5e-05,1.42e-07
0.96936,8.58e-05,5e-05,1.43e-07
0.96781,8.64e-05,5e-05,1.44e-07
0.96623,8.7e-05,5e-05,1.45e-07
0.96451,8.76e-05,5e-05,1.46e-07
0.96276,8.82e-05,5e-05,1.47e-07
0.96091,8.88e-05,5e-05,1.48e-07
0.95897,8.94e-05,5e-05,1.49e-07
0.95697,9e-05,5e-05,1.5e-07
0.95483,9.06e-05,5e-05,1.51e-07
0.95263,9.12e-05,5e-05,1.52e-07
0.95031,9.18e-05,5e-05,1.53e-07
0.94788,9.24e-05,5e-05,1.54e-07
0.94539,9.3e-05,5e-05,1.55e-07
0.94271,9.36e-05,5e-05,1.56e-07
0.93996,9.42e-05,5e-05,1.57e-07
0.93708,9.48e-05,5e-05,1.58e-07
0.93405,9.54e-05,5e-05,1.59e-07
0.93094,9.6e-05,5e-05,1.6e-07
0.92761,9.66e-05,5e-05,1.61e-07
0.92419,9.72e-05,5e-05,1.62e-07
0.92061,9.78e-05,5e-05,1.63e-07
0.91684,9.84e-05,5e-05,1.64e-07
0.91299,9.9e-05,5e-05,1.65e-07
0.90886,9.96e-05,5e-05,1.66e-07
0.90463,0.0001002,5e-05,1.67e-07
0.90019,0.0001008,5e-05,1.68e-07
0.89554,0.0001014,5e-05,1.69e-07
0.89078,0.000102,5e-05,1.7e-07
0.88568,0.0001026,5e-05,1.71e-07
0.88046,0.0001032,5e-05,1.72e-07
0.87499,0.0001038,5e-05,1.73e-07
0.86927,0.0001044,5e-05,1.74e-07
0.86341,0.000105,5e-05,1.75e-07
0.85714,0.0001056,5e-05,1.76e-07
0.85073,0.0001062,5e-05,1.77e-07
0.84402,0.0001068,5e-05,1.78e-07
0.837,0.0001074,5e-05,1.79e-07
0.82982,0.000108,5e-05,1.8e-07
0.82215,0.0001086,5e-05,1.81e-07
0.8143,0.0001092,5e-05,1.82e-07
0.8061,0.0001098,5e-05,1.83e-07
0.79752,0.0001104,5e-05,1.84e-07
0.78876,0.000111,5e-05,1.85e-07
0.77941,0.0001116,5e-05,1.86e-07
0.76986,0.0001122,5e-05,1.87e-07
0.75988,0.0001128,5e-05,1.88e-07
0.74947,0.0001134,5e-05,1.89e-07
0.73883,0.000114,5e-05,1.9e-07
0.7275,0.0001146,5e-05,1.91e-07
0.71592,0.0001152,5e-05,1.92e-07
0.70385,0.0001158,5e-05,1.93e-07
0.69126,0.0001164,5e-05,1.94e-07
0.67842,0.000117,5e-05,1.95e-07
0.66477,0.0001176,5e-05,1.96e-07
0.65083,0.0001182,5e-05,1.97e-07
0.63633,0.0001188,5e-05,1.98e-07
0.62124,0.0001194,5e-05,1.99e-07
0.60585,0.00012,5e-05,2e-07
0.58954,0.0001206,5e-05,2.01e-07
0.57291,0.0001212,5e-05,2.02e-07
0.55565,0.0001218,5e-05,2.03e-07
0.53773,0.0001224,5e-05,2.04e-07
0.51949,0.000123,5e-05,2.05e-07
0.50024,0.0001236,5e-05,2.06e-07
0.48066,0.0001242,5e-05,2.07e-07
0.46041,0.0001248,5e-05,2.08e-07
0.43949,0.0001254,5e-05,2.09e-07
0.41824,0.000126,5e-05,2.1e-07
0.39601,0.0001266,5e-05,2.11e-07
0.37348,0.0001272,5e-05,2.12e-07
0.35033,0.0001278,5e-05,2.13e-07
0.32665,0.0001284,5e-05,2.14e-07
0.30269,0.000129,5e-05,2.15e-07
0.27807,0.0001296,5e-05,2.16e-07
0.25332,0.0001302,5e-05,2.17e-07
0.22829,0.0001308,5e-05,2.18e-07
0.20321,0.0001314,5e-05,2.19e-07
0.17812,0.000132,5e-05,2.2e-07
0.15347,0.0001326,5e-05,2.21e-07
0.12921,0.0001332,5e-05,2.22e-07
0.10573,0.0001338,5e-05,2.23e-07
0.083721,0.0001344,5e-05,2.24e-07
0.062438,0.000135,5e-05,2.25e-07
0.044521,0.0001356,5e-05,2.26e-07
0.028128,0.0001362,5e-05,2.27e-07
0.014786,0.0001368,5e-05,2.28e-07
0.006481,0.0001374,5e-05,2.29e-07
0.0006936,0.000138,5e-05,2.3e-07
0.00027746,0.0001386,5e-05,2.31e-07
3.38e-08,0.0001392,5e-05,2.32e-07
1.4786e-08,0.0001398,5e-05,2.33e-07
2.0493e-08,0.0001404,5e-05,2.34e-07
3.856e-08,0.000141,5e-05,2.35e-07
4.2659e-08,0.0001416,5e-05,2.36e-07
4.5752e-08,0.0001422,5e-05,2.37e-07
4.6831e-08,0.0001428,5e-05,2.38e-07
4.6524e-08,0.0001434,5e-05,2.39e-07
4.5525e-08,0.000144,5e-05,2.4e-07
4.3319e-08,0.0001446,5e-05,2.41e-07
4.0945e-08,0.0001452,5e-05,2.42e-07
3.8234e-08,0.0001458,5e-05,2.43e-07
3.5538e-08,0.0001464,5e-05,2.44e-07
3.2849e-08,0.000147,5e-05,2.45e-07
3.0555e-08,0.0001476,5e-05,2.46e-07
2.8472e-08,0.0001482,5e-05,2.47e-07
2.6811e-08,0.0001488,5e-05,2.48e-07
2.5662e-08,0.0001494,5e-05,2.49e-07
2.4769e-08,0.00015,5e-05,2.5e-07
2.4684e-08,0.0001506,5e-05,2.51e-07
2.4856e-08,0.0001512,5e-05,2.52e-07
2.5542e-08,0.0001518,5e-05,2.53e-07
2.6659e-08,0.0001524,5e-05,2.54e-07
2.7993e-08,0.000153,5e-05,2.55e-07
2.9757e-08,0.0001536,5e-05,2.56e-07
3.1556e-08,0.0001542,5e-05,2.57e-07
3.3424e-08,0.0001548,5e-05,2.58e-07
3.5061e-08,0.0001554,5e-05,2.59e-07
3.6583e-08,0.000156,5e-05,2.6e-07
3.7175e-08,0.0001566,5e-05,2.61e-07
3.7222e-08,0.0001572,5e-05,2.62e-07
3.6179e-08,0.0001578,5e-05,2.63e-07
3.3548e-08,0.0001584,5e-05,2.64e-07
3.0124e-08,0.000159,5e-05,2.65e-07
1.7007e-08,0.0001596,5e-05,2.66e-07
1.2003e-08,0.0001602,5e-05,2.67e-07
2.3223e-08,0.0001608,5e-05,2.68e-07
0.00018309,0.0001614,5e-05,2.69e-07
0.00045778,0.000162,5e-05,2.7e-07
0.0046094,0.0001626,5e-05,2.71e-07
0.010639,0.0001632,5e-05,2.72e-07
0.020423,0.0001638,5e-05,2.73e-07
0.032654,0.0001644,5e-05,2.74e-07
0.046108,0.000165,5e-05,2.75e-07
0.062439,0.0001656,5e-05,2.76e-07
0.079452,0.0001662,5e-05,2.77e-07
0.097828,0.0001668,5e-05,2.78e-07
0.11707,0.0001674,5e-05,2.79e-07
0.13675,0.000168,5e-05,2.8e-07
0.15717,0.0001686,5e-05,2.81e-07
0.1777,0.0001692,5e-05,2.82e-07
0.19845,0.0001698,5e-05,2.83e-07
0.21923,0.0001704,5e-05,2.84e-07
0.24002,0.000171,5e-05,2.85e-07
0.26063,0.0001716,5e-05,2.86e-07
0.28112,0.0001722,5e-05,2.87e-07
0.30139,0.0001728,5e-05,2.88e-07
0.32136,0.0001734,5e-05,2.89e-07
0.34118,0.000174,5e-05,2.9e-07
0.36046,0.0001746,5e-05,2.91e-07
0.37956,0.0001752,5e-05,2.92e-07
0.39826,0.0001758,5e-05,2.93e-07
0.41655,0.0001764,5e-05,2.94e-07
0.43463,0.000177,5e-05,2.95e-07
0.45206,0.0001776,5e-05,2.96e-07
0.46928,0.0001782,5e-05,2.97e-07
0.48606,0.0001788,5e-05,2.98e-07
0.5024,0.0001794,5e-05,2.99e-07
0.51852,0.00018,5e-05,3e-07
0.53398,0.0001806,5e-05,3.01e-07
0.54923,0.0001812,5e-05,3.02e-07
0.56404,0.0001818,5e-05,3.03e-07
0.57842,0.0001824,5e-05,3.04e-07
0.59259,0.000183,5e-05,3.05e-07
0.60613,0.0001836,5e-05,3.06e-07
0.61946,0.0001842,5e-05,3.07e-07
0.63239,0.0001848,5e-05,3.08e-07
0.64492,0.0001854,5e-05,3.09e-07
0.65725,0.000186,5e-05,3.1e-07
0.669,0.0001866,5e-05,3.11e-07
0.68056,0.0001872,5e-05,3.12e-07
0.69174,0.0001878,5e-05,3.13e-07
0.70257,0.0001884,5e-05,3.14e-07
0.71321,0.000189,5e-05,3.15e-07
0.72333,0.0001896,5e-05,3.16e-07
0.73328,0.0001902,5e-05,3.17e-07
0.7429,0.0001908,5e-05,3.18e-07
0.75218,0.0001914,5e-05,3.19e-07
0.76131,0.000192,5e-05,3.2e-07
0.76997,0.0001926,5e-05,3.21e-07
0.77848,0.0001932,5e-05,3.22e-07
0.78668,0.0001938,5e-05,3.23e-07
0.79461,0.0001944,5e-05,3.24e-07
0.80238,0.000195,5e-05,3.25e-07
0.80975,0.0001956,5e-05,3.26e-07
0.81698,0.0001962,5e-05,3.27e-07
0.82394,0.0001968,5e-05,3.28e-07
0.83066,0.0001974,5e-05,3.29e-07
0.83725,0.000198,5e-05,3.3e-07
0.84347,0.0001986,5e-05,3.31e-07
0.84959,0.0001992,5e-05,3.32e-07
0.85547,0.0001998,5e-05,3.33e-07
0.86113,0.0002004,5e-05,3.34e-07
0.86668,0.000201,5e-05,3.35e-07
0.87192,0.0002016,5e-05,3.36e-07
0.87705,0.0002022,5e-05,3.37e-07
0.88199,0.0002028,5e-05,3.38e-07
0.88673,0.0002034,5e-05,3.39e-07
