"Norm_Ux","Points:0","Points:1","Points:2"
0.061808,0.00015,0,0
0.067619,0.00015,1e-07,1e-09
0.07343,0.00015,2e-07,2e-09
0.07924,0.00015,3e-07,3e-09
0.085051,0.00015,4e-07,4e-09
0.090862,0.00015,5e-07,5e-09
0.096672,0.00015,6e-07,6e-09
0.10248,0.00015,7e-07,7e-09
0.10829,0.00015,8e-07,8e-09
0.1141,0.00015,9e-07,9e-09
0.11992,0.00015,1e-06,1e-08
0.13118,0.00015,1.1e-06,1.1e-08
0.14245,0.00015,1.2e-06,1.2e-08
0.15372,0.00015,1.3e-06,1.3e-08
0.16499,0.00015,1.4e-06,1.4e-08
0.17626,0.00015,1.5e-06,1.5e-08
0.18753,0.00015,1.6e-06,1.6e-08
0.1988,0.00015,1.7e-06,1.7e-08
0.21007,0.00015,1.8e-06,1.8e-08
0.22134,0.00015,1.9e-06,1.9e-08
0.23261,0.00015,2e-06,2e-08
0.24319,0.00015,2.1e-06,2.1e-08
0.25378,0.00015,2.2e-06,2.2e-08
0.26436,0.00015,2.3e-06,2.3e-08
0.27494,0.00015,2.4e-06,2.4e-08
0.28552,0.00015,2.5e-06,2.5e-08
0.29611,0.00015,2.6e-06,2.6e-08
0.30669,0.00015,2.7e-06,2.7e-08
0.31727,0.00015,2.8e-06,2.8e-08
0.32785,0.00015,2.9e-06,2.9e-08
0.33843,0.00015,3e-06,3e-08
0.34836,0.00015,3.1e-06,3.1e-08
0.35828,0.00015,3.2e-06,3.2e-08
0.3682,0.00015,3.3e-06,3.3e-08
0.37813,0.00015,3.4e-06,3.4e-08
0.38805,0.00015,3.5e-06,3.5e-08
0.39797,0.00015,3.6e-06,3.6e-08
0.4079,0.00015,3.7e-06,3.7e-08
0.41782,0.00015,3.8e-06,3.8e-08
0.42774,0.00015,3.9e-06,3.9e-08
0.43767,0.00015,4e-06,4e-08
0.44696,0.00015,4.1e-06,4.1e-08
0.45625,0.00015,4.2e-06,4.2e-08
0.46554,0.00015,4.3e-06,4.3e-08
0.47483,0.00015,4.4e-06,4.4e-08
0.48412,0.00015,4.5e-06,4.5e-08
0.49341,0.00015,4.6e-06,4.6e-08
0.5027,0.00015,4.7e-06,4.7e-08
0.51199,0.00015,4.8e-06,4.8e-08
0.52128,0.00015,4.9e-06,4.9e-08
0.53056,0.00015,5e-06,5e-08
0.53924,0.00015,5.1e-06,5.1e-08
0.54792,0.00015,5.2e-06,5.2e-08
0.5566,0.00015,5.3e-06,5.3e-08
0.56528,0.00015,5.4e-06,5.4e-08
0.57396,0.00015,5.5e-06,5.5e-08
0.58263,0.00015,5.6e-06,5.6e-08
0.59131,0.00015,5.7e-06,5.7e-08
0.59999,0.00015,5.8e-06,5.8e-08
0.60867,0.00015,5.9e-06,5.9e-08
0.61735,0.00015,6e-06,6e-08
0.62543,0.00015,6.1e-06,6.1e-08
0.63352,0.00015,6.2e-06,6.2e-08
0.64161,0.00015,6.3e-06,6.3e-08
0.64969,0.00015,6.4e-06,6.4e-08
0.65778,0.00015,6.5e-06,6.5e-08
0.66587,0.00015,6.6e-06,6.6e-08
0.67395,0.00015,6.7e-06,6.7e-08
0.68204,0.00015,6.8e-06,6.8e-08
0.69013,0.00015,6.9e-06,6.9e-08
0.69821,0.00015,7e-06,7e-08
0.70572,0.00015,7.1e-06,7.1e-08
0.71324,0.00015,7.2e-06,7.2e-08
0.72075,0.00015,7.3e-06,7.3e-08
0.72826,0.00015,7.4e-06,7.4e-08
0.73577,0.00015,7.5e-06,7.5e-08
0.74328,0.00015,7.6e-06,7.6e-08
0.7508,0.00015,7.7e-06,7.7e-08
0.75831,0.00015,7.8e-06,7.8e-08
0.76582,0.00015,7.9e-06,7.9e-08
0.77333,0.00015,8e-06,8e-08
0.78028,0.00015,8.1e-06,8.1e-08
0.78724,0.00015,8.2e-06,8.2e-08
0.79419,0.00015,8.3e-06,8.3e-08
0.80114,0.00015,8.4e-06,8.4e-08
