# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	3.44452564e+03	(5.77350269e-01 7.00000000e+00 0.00000000e+00)
0.05            	U               	(2.15828857e-01 -2.03639125e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.18330874e+00 4.13976592e-01 1.31670341e-14)	(2.57735027e+00 1.00000000e+00 0.00000000e+00)
0.1             	p               	-1.09418087e+01	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	2.86754340e+00	(5.50392380e+01 -4.24985903e+00 0.00000000e+00)
0.1             	U               	(2.37349248e-01 -2.18695762e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.35415667e+00 2.24361011e+00 3.90287433e-18)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.15            	p               	-5.79181486e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	3.78853995e+00	(5.50392380e+01 -4.24985903e+00 0.00000000e+00)
0.15            	U               	(2.52760761e-01 -2.27701479e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34845896e+00 2.23759394e+00 2.48458091e-18)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.2             	p               	-4.11535930e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	3.94582636e+00	(5.50392380e+01 -4.24985903e+00 0.00000000e+00)
0.2             	U               	(2.64667456e-01 -2.33262813e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34497330e+00 2.23238538e+00 1.48866405e-18)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.25            	p               	-3.15301753e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.48062235e+00	(5.38541556e+01 -3.99308064e+00 0.00000000e+00)
0.25            	U               	(2.74264323e-01 -2.36557677e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34318283e+00 2.22745900e+00 9.07759163e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.3             	p               	-2.64294578e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.63537252e+00	(5.38541556e+01 -3.99308064e+00 0.00000000e+00)
0.3             	U               	(2.82247913e-01 -2.38277615e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34272011e+00 2.22285219e+00 5.56411559e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.35            	p               	-2.38996037e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.57676268e+00	(5.38541556e+01 -3.99308064e+00 0.00000000e+00)
0.35            	U               	(2.89056381e-01 -2.38862435e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34323801e+00 2.21850330e+00 3.48857247e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.4             	p               	-2.28941413e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.41157230e+00	(5.38541556e+01 -3.99308064e+00 0.00000000e+00)
0.4             	U               	(2.94979859e-01 -2.38606664e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34447334e+00 2.21436540e+00 2.36393019e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
0.45            	p               	-2.29725302e+00	(5.66148568e+01 1.19325506e+01 0.00000000e+00)	4.17051496e+00	(5.38541556e+01 -3.99308064e+00 0.00000000e+00)
0.45            	U               	(3.00216349e-01 -2.37714829e-01 0.00000000e+00)	(6.66666667e-01 1.53333333e+01 0.00000000e+00)	(1.34621234e+00 2.21039867e+00 1.79602931e-19)	(4.61497648e+01 2.34605128e+01 0.00000000e+00)
