# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.73223917e+03	(5.28725700e+01 -4.17489767e+00 0.00000000e+00)
0.05            	U               	(-1.01749270e+00 -8.27344630e-01 -9.35367494e-16)	(5.19008565e+01 7.36117746e+00 0.00000000e+00)	(7.98797476e-01 1.02525850e+00 6.86824226e-16)	(5.71292393e+01 1.26052017e+01 0.00000000e+00)
0.1             	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35234662e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
0.1             	U               	(-9.73285116e-01 -7.31129059e-01 -5.82179223e-17)	(5.19008565e+01 7.36117746e+00 0.00000000e+00)	(1.17704685e-01 4.05397323e-02 5.10772889e-16)	(2.57735027e+00 1.00000000e+00 0.00000000e+00)
0.15            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35649128e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
0.15            	U               	(-8.85274645e-01 -6.34605176e-01 -5.95735304e-17)	(5.19008565e+01 7.36117746e+00 0.00000000e+00)	(1.74601883e-01 5.90696750e-02 5.10707444e-16)	(2.57735027e+00 1.00000000e+00 0.00000000e+00)
0.2             	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35566772e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
0.2             	U               	(-7.78910106e-01 -5.39114014e-01 -6.12369307e-17)	(5.19008565e+01 7.36117746e+00 0.00000000e+00)	(2.29747481e-01 7.60963979e-02 5.08806632e-16)	(2.57735027e+00 1.00000000e+00 0.00000000e+00)
0.25            	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.35003144e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
0.25            	U               	(-6.49061186e-01 -4.50208631e-01 -6.27002826e-17)	(5.19008565e+01 7.36117746e+00 0.00000000e+00)	(2.83395995e-01 9.15692417e-02 5.05207995e-16)	(2.57735027e+00 1.00000000e+00 0.00000000e+00)
0.3             	p               	0.00000000e+00	(4.90000000e+01 6.40000000e+01 0.00000000e+00)	1.34098487e+02	(5.77350269e-01 9.00000000e+00 0.00000000e+00)
